Compound,InChIKey,CAS,Constants,Types,Temperature
MCM:CH3SCH2OOH,LDZPECMXMDESRV-UHFFFAOYSA-N,UNKNOWN,"['1.1E+02', '1.4E+02', '9.8E+00']","['Q', 'Q', 'Q']","[25.0, 25.0, 25.0]"
MCM:DMSO2OOH,GCLQZLAJAMWHPS-UHFFFAOYSA-N,UNKNOWN,"['2.6E+05', '6.5E+06', '6.8E+05']","['Q', 'Q', 'Q']","[25.0, 25.0, 25.0]"
MCM:CH3SCH2OH,ZSSFPSNLAUYOFG-UHFFFAOYSA-N,UNKNOWN,"['4.2E+00', '7.6E+01', '1.1E+01']","['Q', 'Q', 'Q']","[25.0, 25.0, 25.0]"
MCM:DMSO2OH,ICHBUPLXTAHKLA-UHFFFAOYSA-N,UNKNOWN,"['1.0E+04', '5.6E+06', '5.8E+06']","['Q', 'Q', 'Q']","[25.0, 25.0, 25.0]"
MCM:CH3SCHO,LFJRGYNYRORDDM-UHFFFAOYSA-N,UNKNOWN,"['1.3E+00', '1.5E-01', '4.8E-02']","['Q', 'Q', 'Q']","[25.0, 25.0, 25.0]"
MCM:CH3SO2CHO,LUGQISNSRPQOGS-UHFFFAOYSA-N,UNKNOWN,"['3.1E+03', '3.6E+02', '2.2E+02']","['Q', 'Q', 'Q']","[25.0, 25.0, 25.0]"
"mercaptoacetic acid, methyl ester",MKIJJIMOAABWGF-UHFFFAOYSA-N,2365-48-2,['1.6E+00'],['Q'],[25.0]
"1,3-propane sultone",FSSPGSAQUIYDCN-UHFFFAOYSA-N,1120-71-4,['1.6E+03'],['?'],[25.0]
"methanesulfonic acid, ethyl ester",PLUBXMRUUVWRLT-UHFFFAOYSA-N,62-50-0,"['3.8E+01', '2.8E-02', '1.8E+00']","['V', 'Q', 'Q']","[25.0, 25.0, 25.0]"
"2,3-dimercapto-1-propanol",WQABCVAJNWAXTE-UHFFFAOYSA-N,59-52-9,"['1.1E+03', '4.1E+03']","['V', 'Q']","[25.0, 25.0]"
divinyl sulfoxide,HQSMEHLVLOGBCK-UHFFFAOYSA-N,1115-15-7,['2.5E+01'],['Q'],[25.0]
divinyl sulphone,AFOSIXZFDONLBT-UHFFFAOYSA-N,77-77-0,['2.0E-01'],['Q'],[25.0]
"2,5-dihydrothiophene sulfone",MBDNRNMVTZADMQ-UHFFFAOYSA-N,77-79-2,['2.3E+00'],['Q'],[25.0]
thiodiacetic acid,UVZICZIVKIMRNE-UHFFFAOYSA-N,123-93-3,['2.2E+08'],['Q'],[25.0]
"thiophene, tetrahydro-, 1,1-dioxide",HXJUTPCZVOIRIF-UHFFFAOYSA-N,126-33-0,['2.1E+00'],['Q'],[25.0]
2-(ethylthio)ethanol,LNRIEBFNWGMXKP-UHFFFAOYSA-N,110-77-0,['1.9E+02'],['Q'],[25.0]
thiodiglycol,YODZTKMDCQEPHD-UHFFFAOYSA-N,111-48-8,['5.2E+03'],['Q'],[25.0]
"methanesulfonic acid, 1-methylethyl ester",SWWHCQCMVCPLEQ-UHFFFAOYSA-N,926-06-7,['1.4E+00'],['Q'],[25.0]
diethyl sulfate,DENRZWYUOJLTMF-UHFFFAOYSA-N,64-67-5,['1.6E+00'],['?'],[25.0]
S-methyl butanethioate,GRLJIIJNZJVMGP-UHFFFAOYSA-N,2432-51-1,['2.6E-02'],['M'],[25.0]
4-hydroxybenzenesulfonic acid,FEPBITJSIHRMRT-UHFFFAOYSA-N,98-67-9,['3.8E+07'],['Q'],[25.0]
benzenesulfonic acid,SRSXLGNVWSONIS-UHFFFAOYSA-N,98-11-3,['3.9E+03'],['Q'],[25.0]
dimethipin,PHVNLLCAQHGNKU-UHFFFAOYSA-N,55290-64-7,"['4.3E+05', '7.0E+05', '4.3E+05']","['V', 'Q', '?']","[25.0, 25.0, 25.0]"
4-methylbenzenesulfonic acid,JOXIMZWYDAKGHI-UHFFFAOYSA-N,104-15-4,['3.6E+03'],['Q'],[25.0]
phenylmethanesulfonic acid,NIXKBAZVOQAHGC-UHFFFAOYSA-N,100-87-8,['9.9E+03'],['Q'],[25.0]
isoprothiolane,UFHLMYOGRXOCSL-UHFFFAOYSA-N,50512-35-1,"['9.8E-02', '2.8E+03']","['V', 'Q']","[25.0, 25.0]"
"4,4'-sulfonyldiphenol",VPWNQTHUCYMVMZ-UHFFFAOYSA-N,80-09-1,['3.7E+09'],['Q'],[25.0]
benfuresate,QGQSRQPXXMTJCM-UHFFFAOYSA-N,68505-69-1,['3.7E+02'],['?'],[25.0]
lauryl sulfate,MOTZDAYCYVMXPC-UHFFFAOYSA-N,151-41-7,['5.5E+01'],['Q'],[25.0]
ethofumesate,IRCMYGHHKLLGHV-UHFFFAOYSA-N,26225-79-6,"['2.7E+02', '2.7E+02', '4.5E+01', '7.7E+00', '1.1E+02', '2.7E+02']","['V', 'V', 'X', 'Q', 'Q', '?']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
"1,1'-sulfonylbis(4-(1-methylethyl)-benzene",PKQWGBLKCJIMDP-UHFFFAOYSA-N,57913-35-6,"['1.0E+01', '2.9E+03', '6.7E+04', '3.1E+02']","['Q', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
propargite,ZYHMJXZULPZUED-UHFFFAOYSA-N,2312-35-8,"['1.5E+01', '1.5E+01', '1.0E+02']","['V', 'V', 'Q']","[25.0, 25.0, 25.0]"
kadethrin,UGWALRUNBSBTGI-QJLCOAGJSA-N,58769-20-3,['1.2E+04'],['Q'],[25.0]
spironolactone,LXMSZDCAJNLERA-PJKOONHHSA-N,52-01-7,['9.0E+04'],['Q'],[25.0]
"2,2'-thiobis(4-(1,1,3,3-tetramethylbutyl)phenol)",WQYFETFRIRDUPJ-UHFFFAOYSA-N,3294-03-9,"['4.5E+05', '1.2E+04', '2.2E+07', '1.8E+05']","['Q', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
"propanoic acid, 3,3'-thiobis-, didodecyl ester",GHKOFFNLGXMVNJ-UHFFFAOYSA-N,123-28-4,['2.5E+00'],['Q'],[25.0]
"dioctadecyl 3,3'-thiodipropionate",PWWSSIYVTQUJQQ-UHFFFAOYSA-N,693-36-7,['8.2E-02'],['Q'],[25.0]
methyl isothiocyanate,LGDSHSYDSCRFAB-UHFFFAOYSA-N,556-61-6,"['1.7E-01', '1.7E-01', '1.7E-01', '1.6E-01', '2.2E-01', '2.2E-01', '2.1E+00', '1.8E-02']","['L', 'L', 'L', 'M', 'V', 'V', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
thiourea,UMGDCJDMYOKAJW-UHFFFAOYSA-N,62-56-6,"['5.0E+03', '4.9E+03', '1.7E+05']","['V', 'V', 'Q']","[25.0, 25.0, 25.0]"
hydrazinecarbothioamide,BRWIZMBXBAOCCF-UHFFFAOYSA-N,79-19-6,['1.5E+04'],['Q'],[25.0]
"thiocyanic acid, methyl ester",VYHVQEYOFIYNJP-UHFFFAOYSA-N,556-64-9,['2.2E-01'],['Q'],[25.0]
ethanethioamide,YUKQRDCYNOVPGJ-UHFFFAOYSA-N,62-55-5,['1.5E+00'],['Q'],[25.0]
mercaptamine,UFULAYFCSOUIOV-UHFFFAOYSA-N,60-23-1,['2.7E+01'],['Q'],[25.0]
"thiocyanic acid, ethyl ester",WFCLYEAZTHWNEH-UHFFFAOYSA-N,542-90-5,['1.7E-01'],['Q'],[25.0]
2-imidazolidinethione,PDQAZBWRQCGBEV-UHFFFAOYSA-N,96-45-7,['2.9E+01'],['Q'],[25.0]
ethylthiourea,GMEHFXXZSWDEDB-UHFFFAOYSA-N,625-53-6,['4.2E+02'],['Q'],[25.0]
allyl isothiocyanate,ZOJBYZNEUISWFT-UHFFFAOYSA-N,57-06-7,"['2.1E-02', '4.1E-02', '4.1E-02', '2.7E+00', '2.3E-01']","['M', 'V', 'V', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0, 25.0]"
dazomet,QAYICIQNSGETAS-UHFFFAOYSA-N,533-74-4,"['2.0E+04', '4.6E+04', '3.7E+04', '3.7E+05', '2.0E+04']","['V', 'V', 'X', 'Q', '?']","[25.0, 25.0, 25.0, 25.0, 25.0]"
"N,N'-diethylthiourea",FLVIGYVXZHLUHP-UHFFFAOYSA-N,105-55-5,['1.4E+02'],['Q'],[25.0]
tetramethylthiourea,MNOILHPDHOHILI-UHFFFAOYSA-N,2782-91-4,['8.5E+02'],['Q'],[25.0]
thiram,KUAZQDVKQLNFPE-UHFFFAOYSA-N,137-26-8,"['9.3E+01', '3.0E+01']","['V', 'X']","[25.0, 25.0]"
bis(dimethylthiocarbamyl) sulfide,REQPQFUJGGOFQL-UHFFFAOYSA-N,97-74-5,['5.8E-01'],['Q'],[25.0]
benzothiazole,IOJUPLGTWVMSFF-UHFFFAOYSA-N,95-16-9,"['2.7E+01', '2.7E+01', '2.8E+00', '1.1E+01', '2.0E+00']","['Q', 'Q', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0, 25.0]"
2-mercaptobenzothiazole,YXIWHUQXZSMYRE-UHFFFAOYSA-N,149-30-4,"['2.7E+02', '2.7E+02', '2.8E+03', '2.2E+02', '2.1E+01']","['Q', 'Q', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0, 25.0]"
2-benzothiazolamine,UHGULLIUJBCTEF-UHFFFAOYSA-N,136-95-8,['7.6E+04'],['Q'],[25.0]
phenylthiourea,FULZLIGZKMKICU-UHFFFAOYSA-N,103-85-5,['9.9E+04'],['Q'],[25.0]
aziprotryn,AFIIBUOYKYSPKB-UHFFFAOYSA-N,4658-28-0,"['4.0E+02', '9.2E+02']","['Q', '?']","[25.0, 25.0]"
isothiocyanatobenzene,QKFJKGMPGYROCL-UHFFFAOYSA-N,103-72-0,"['3.3E-03', '5.1E+00']","['V', 'Q']","[25.0, 25.0]"
simetryn,MGLWZSOBALDPEK-UHFFFAOYSA-N,1014-70-6,"['2.2E+04', '2.2E+04', '3.8E+06', '2.9E+04', '1.0E+04']","['V', 'V', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0, 25.0]"
desmetryn,HCRWJJJUKUVORR-UHFFFAOYSA-N,1014-69-3,"['2.1E+04', '5.0E+07', '2.2E+04', '2.0E+04', '1.4E+09', '3.9E+07', '2.1E+04']","['V', 'C', 'Q', 'Q', 'Q', 'Q', '?']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
thioquinox,ILERPRJWJPJZDN-UHFFFAOYSA-N,93-75-4,['1.3E+02'],['Q'],[25.0]
"thiocyanic acid, (2-benzothiazolylthio)methyl ester",TUBQDCKAWGHZPF-UHFFFAOYSA-N,21564-17-0,['1.5E+06'],['Q'],[25.0]
ametryn,RQVYBGPQFYCBGX-UHFFFAOYSA-N,834-12-8,"['2.1E+01', '4.1E+03', '8.1E+03', '8.3E+03', '8.2E+01', '4.1E+03', '1.3E+02', '1.2E+04', '5.1E+03', '8.9E+07', '1.1E+07']","['M', 'V', 'V', 'V', 'X', 'C', 'Q', 'Q', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
cimetidine,AQIXAKUUQRKLND-UHFFFAOYSA-N,51481-61-9,['1.0E+10'],['Q'],[25.0]
prometryn,AAEVYOVXGOFMJO-UHFFFAOYSA-N,7287-19-6,"['8.2E+02', '2.0E+03', '2.0E+03', '2.0E+01', '2.9E+06', '7.6E+02', '2.5E+02', '7.5E+02', '2.5E+03', '5.1E+06', '1.4E+06']","['V', 'V', 'V', 'X', 'C', 'C', 'Q', 'Q', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
terbutryn,IROINLKCQGIITA-UHFFFAOYSA-N,886-50-0,"['4.7E+02', '7.0E+02', '7.7E+02', '7.6E+00', '1.2E+06', '8.7E+02', '1.7E+02', '4.5E+03', '1.6E+03', '5.1E+06', '1.4E+06']","['V', 'V', 'V', 'X', 'C', 'C', 'Q', 'Q', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
disulfiram,AUZONCFQVSMFAP-UHFFFAOYSA-N,97-77-8,['1.2E-01'],['Q'],[25.0]
1-naphthalenylthiourea,PIVQQUNOTICCSA-UHFFFAOYSA-N,86-88-4,['1.2E+03'],['Q'],[25.0]
"4,4'-thiobisbenzenamine",ICNFHJVPAJKPHW-UHFFFAOYSA-N,139-65-1,['2.5E+06'],['Q'],[25.0]
dipropetryn,NPWMZOGDXOFZIN-UHFFFAOYSA-N,4147-51-7,"['6.0E+02', '1.6E+03', '6.5E+02']","['Q', 'Q', '?']","[25.0, 25.0, 25.0]"
dimethametryn,IKYICRRUVNIHPP-UHFFFAOYSA-N,22936-75-0,"['8.2E+03', '1.0E+03']","['Q', 'Q']","[25.0, 25.0]"
phenothiazine,WJFKNYWRSNBZNX-UHFFFAOYSA-N,92-84-2,"['1.0E+02', '3.5E+02', '3.5E+02', '6.9E+02', '9.7E+01', '4.3E+02']","['Q', 'Q', 'Q', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
cymiazole,YUAUPYJCVKNAEC-UHFFFAOYSA-N,61676-87-7,['1.5E+02'],['?'],[25.0]
"2,2'-dithiobisbenzothiazole",AFZSMODLJJCVPP-UHFFFAOYSA-N,120-78-5,['4.2E+07'],['Q'],[25.0]
methapyrilene,HNJJXZKZRAWDPF-UHFFFAOYSA-N,91-80-5,['3.6E+01'],['V'],[25.0]
olanzapine,KVWDHTXUZHCGIO-UHFFFAOYSA-N,132539-06-1,['1.3E+09'],['Q'],[25.0]
"N-(1,1-dimethylethyl)bis(2-benzothiazolesulfen)amide",VILGDADBAQFRJE-UHFFFAOYSA-N,3741-80-8,"['2.4E+08', '1.7E+03', '2.3E+03', '3.9E+08']","['Q', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
buthiobate,ZZVVDIVWGXTDRQ-UHFFFAOYSA-N,51308-54-4,['3.4E+01'],['?'],[25.0]
MCM:CH3SO4NO2,IMLJWBRSRKRPAQ-UHFFFAOYSA-N,UNKNOWN,"['7.8E+03', '1.6E+04', '3.2E-02']","['Q', 'Q', 'Q']","[25.0, 25.0, 25.0]"
MCM:CH3SOO2NO2,PGTDFOBGUOOGGZ-UHFFFAOYSA-N,UNKNOWN,"['1.7E+06', '3.9E+08', '8.3E-02']","['Q', 'Q', 'Q']","[25.0, 25.0, 25.0]"
taurine,XOAAWQZATWQOTB-UHFFFAOYSA-N,107-35-7,['5.8E+06'],['Q'],[25.0]
2-amino-5-nitrothiazole,MIHADVKEHAFNPG-UHFFFAOYSA-N,121-66-4,['1.9E+06'],['Q'],[25.0]
N-(aminothioxomethyl)acetamide,IPCRBOOJBPETMF-UHFFFAOYSA-N,591-08-2,['3.8E+05'],['Q'],[25.0]
acesulfame,YGCFIWIQZPHFLU-UHFFFAOYSA-N,33665-90-6,['1.0E+03'],['Q'],[25.0]
methomyl,UHXUZOCRWCRNSJ-UHFFFAOYSA-N,16752-77-5,"['2.0E+02', '5.0E+05', '5.2E+05', '5.3E+04', '1.5E+04', '1.5E+02', '1.0E+04', '1.3E+02']","['M', 'V', 'V', 'V', 'V', 'X', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
4-aminobenzenesulfonic acid,HVBSAKJJOYLTQU-UHFFFAOYSA-N,121-57-3,['1.1E+07'],['Q'],[25.0]
sulfanilamide,FDDDEECHVMSUSB-UHFFFAOYSA-N,63-74-1,['6.6E+04'],['Q'],[25.0]
nithiazide,FQSUTLQHSDLLAN-UHFFFAOYSA-N,139-94-6,['6.2E+09'],['Q'],[25.0]
2-methylbenzenesulfonamide,YCMLQMDWSXFTIF-UHFFFAOYSA-N,88-19-7,['2.1E+01'],['Q'],[25.0]
4-methylbenzenesulfonamide,LMYRWZFENFIFIT-UHFFFAOYSA-N,70-55-3,['2.1E+01'],['Q'],[25.0]
ethidimuron,KCOCSOWTADCKOL-UHFFFAOYSA-N,30043-49-3,['1.4E+08'],['?'],[25.0]
oxamyl,KZAUOCCYDRDERY-UITAMQMPSA-N,23135-22-0,"['4.2E+04', '4.2E+04', '4.2E+04', '3.8E+03', '3.8E+01', '3.4E+07', '6.4E+01', '2.0E+07']","['V', 'V', 'V', 'V', 'X', 'Q', 'Q', '?']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
aldicarb,QGLZXHRNAYXIBU-WEVVVXLNSA-N,116-06-3,"['6.9E+03', '6.6E+03', '7.9E+03', '3.1E+03', '3.1E+01', '1.9E+00', '8.0E+03', '2.6E+01']","['V', 'V', 'V', 'V', 'X', 'C', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
aldicarb sulfoxide,BXPMAGSOWXBZHS-UHFFFAOYSA-N,1646-87-3,"['1.0E+04', '4.2E+06']","['V', 'Q']","[25.0, 25.0]"
aldicarb sulfone,YRRKLBAKDXSTNC-UHFFFAOYSA-N,1646-88-4,"['2.9E+03', '4.4E+06', '3.7E+03']","['V', 'Q', '?']","[25.0, 25.0, 25.0]"
butocarboxim,SFNPDDSJBGRXLW-UHFFFAOYSA-N,34681-10-2,"['1.7E+04', '1.7E+04']","['V', '?']","[25.0, 25.0]"
butoxycarboxim,CTJBHIROCMPUKL-UHFFFAOYSA-N,34681-23-7,['3.5E+06'],['V'],[25.0]
saccharin,CVHZOJJKTDOEJC-UHFFFAOYSA-N,81-07-2,['8.2E+03'],['Q'],[25.0]
acibenzolar-S-methyl,UELITFHSCLAHKR-UHFFFAOYSA-N,135158-54-2,"['8.3E+01', '8.2E+01', '1.5E+06', '7.7E+01']","['V', 'V', 'Q', '?']","[25.0, 25.0, 25.0, 25.0]"
quinomethionate,FBQQHUGEACOBDN-UHFFFAOYSA-N,2439-01-2,"['1.6E+02', '1.6E+02']","['V', '?']","[25.0, 25.0]"
nifurthiazole,DUWYZHLZDVCZIO-UHFFFAOYSA-N,3570-75-0,['1.3E+12'],['Q'],[25.0]
4-methylbenzenesulfonyl isocyanate,VLJQDHDVZJXNQL-UHFFFAOYSA-N,4083-64-1,"['1.7E-01', '3.2E+01', '6.7E+00', '4.0E+04']","['Q', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
tinidazole,HJLSLZFTEKNLFI-UHFFFAOYSA-N,19387-91-8,['1.9E+05'],['Q'],[25.0]
metribuzin,FOXFZRUHNHCZPX-UHFFFAOYSA-N,21087-64-9,"['8.2E+04', '5.0E+04']","['V', '?']","[25.0, 25.0]"
tricyclazole,DQJCHOQLCLEDLL-UHFFFAOYSA-N,41814-78-2,"['3.2E+05', '3.2E+05', '5.5E+05']","['V', 'V', 'Q']","[25.0, 25.0, 25.0]"
benzthiazuron,DTCJYIIKPVRVDD-UHFFFAOYSA-N,1929-88-0,['1.9E+06'],['?'],[25.0]
thidiazuron,HFCYZXMHUIHAQI-UHFFFAOYSA-N,51707-55-2,['3.0E+07'],['V'],[25.0]
sulfathiazole,JNMRHUJNCSQMMB-UHFFFAOYSA-N,72-14-0,['1.7E+08'],['Q'],[25.0]
sulfamethizole,VACCAVUAMIDAGB-UHFFFAOYSA-N,144-82-1,['3.8E+08'],['Q'],[25.0]
ethiozin,ADZSGNDOZREKJK-UHFFFAOYSA-N,64529-56-2,['2.0E+02'],['?'],[25.0]
tebuthiuron,HBPDKDSFLXWOAE-UHFFFAOYSA-N,34014-18-1,"['6.9E+04', '3.2E+04', '8.2E+04']","['Q', 'Q', '?']","[25.0, 25.0, 25.0]"
molinate,DEDOPGXGGQYYMW-UHFFFAOYSA-N,2212-67-1,"['7.7E+00', '2.2E+00', '1.7E+00', '6.9E+00', '1.1E+01', '1.0E+01', '7.6E+00', '7.3E+00', '2.3E+00']","['M', 'M', 'M', 'V', 'V', 'V', 'C', 'Q', 'Q']","[25.0, 25.0, 7026.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
thiofanox,FZSVSABTBYGOQH-UHFFFAOYSA-N,39196-18-4,"['1.1E+03', '3.4E+03']","['V', 'Q']","[25.0, 25.0]"
amidosulfuron,CTTHWASMBLQOFR-UHFFFAOYSA-N,120923-37-7,"['6.4E+05', '1.9E+03', '1.5E+05']","['?', '?', '?']","[25.0, 25.0, 25.0]"
S-ethyl dipropylthiocarbamate,GUVLYNGULCJVDO-UHFFFAOYSA-N,759-94-4,"['5.6E-01', '3.8E-02', '6.2E-01', '9.8E-01', '4.2E-01', '9.8E-01', '7.4E-01', '1.0E-02', '1.1E-02', '8.2E-01', '1.2E+00']","['M', 'M', 'V', 'V', 'V', 'V', 'V', 'X', 'Q', 'Q', 'Q']","[8826.85, 4526.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
thiabendazole,WJCNZQLZVWNLKY-UHFFFAOYSA-N,148-79-8,"['4.7E+05', '4.7E+05', '4.7E+05', '1.3E+05', '2.7E+05']","['V', 'V', 'V', 'Q', '?']","[25.0, 25.0, 25.0, 25.0, 25.0]"
"benzo[$b$]thiophene-4-ol, methylcarbamate",BOTUVXISJHKZKJ-UHFFFAOYSA-N,1079-33-0,['5.8E+03'],['Q'],[25.0]
sulfamethoxazole,JLKIGFTWXXRPMT-UHFFFAOYSA-N,723-46-6,['1.5E+07'],['Q'],[25.0]
bentazone,ZOMSMJKLGFBRBS-UHFFFAOYSA-N,25057-89-0,"['4.5E+03', '1.3E+02', '3.6E+02', '1.4E+04', '4.7E+05']","['V', 'X', 'Q', '?', '?']","[25.0, 25.0, 25.0, 25.0, 25.0]"
buthidazole,SWMGXKSQWDSBKV-UHFFFAOYSA-N,55511-98-3,['4.8E+06'],['?'],[25.0]
thiodicarb,XDOTVMNBCQVZKG-UHFFFAOYSA-N,59669-26-0,"['1.1E+01', '2.3E+01']","['V', 'V']","[25.0, 25.0]"
pebulate,SGEJQUSYQTVSIU-UHFFFAOYSA-N,1114-71-2,"['4.1E-02', '3.8E-01', '8.6E-02', '8.4E-04', '6.6E-03', '6.4E-01', '8.9E-01', '2.3E+10']","['V', 'V', 'V', 'X', 'Q', 'Q', 'Q', '?']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
vernolate,OKUGPJPKMAEJOE-UHFFFAOYSA-N,1929-77-7,"['3.2E-01', '4.9E-01', '4.9E-01', '4.8E-03', '2.9E-03', '6.5E-01', '9.0E-01']","['V', 'V', 'V', 'X', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
biotin,YBJHBAHKTGYVGT-ZKWXMUAHSA-N,58-85-5,['5.6E+02'],['Q'],[25.0]
methabenzthiazuron,RRVIAQKBTUQODI-UHFFFAOYSA-N,18691-97-9,"['1.8E+04', '6.6E+04']","['V', 'Q']","[25.0, 25.0]"
sulfisoxazole,NHUHCSRWZMLRLA-UHFFFAOYSA-N,127-69-5,['6.2E+06'],['Q'],[25.0]
ethiofencarb,HEZNVIYQEUHLNI-UHFFFAOYSA-N,29973-13-5,"['8.6E+03', '8.2E+03', '7.7E+02']","['V', 'V', 'Q']","[25.0, 25.0, 25.0]"
methiocarb,YFBPRJGDJKVWAH-UHFFFAOYSA-N,2032-65-7,"['8.3E+00', '8.4E+03']","['V', 'X']","[25.0, 25.0]"
cycloate,DFCAFRGABIXSDS-UHFFFAOYSA-N,1134-23-2,"['1.9E+00', '3.7E+00', '3.2E+00']","['V', 'Q', 'Q']","[25.0, 25.0, 25.0]"
methoprotryn,DDUIUBPJPOKOMV-UHFFFAOYSA-N,841-06-5,"['3.1E+04', '1.5E+05', '2.0E+05', '3.1E+04']","['V', 'Q', 'Q', '?']","[25.0, 25.0, 25.0, 25.0]"
butylate,BMTAFVWTTFSTOG-UHFFFAOYSA-N,2008-41-5,"['1.2E-01', '1.8E+00', '1.8E-02', '2.1E-01', '5.8E-01', '6.0E-01']","['V', 'V', 'X', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
2-octyl-3(2H)-isothiazolone,JPMIIZHYYWMHDT-UHFFFAOYSA-N,26530-20-1,"['4.8E+02', '1.8E+00']","['V', 'Q']","[25.0, 25.0]"
metsulfovax,UDSJPFPDKCMYBD-UHFFFAOYSA-N,21452-18-6,['9.2E+05'],['?'],[25.0]
carboxin,GYSSRZJIHXQEHQ-UHFFFAOYSA-N,5234-68-4,"['3.1E+04', '3.1E+04', '6.4E+04', '7.6E+02', '3.1E+04']","['V', 'V', 'V', 'Q', '?']","[25.0, 25.0, 25.0, 25.0, 25.0]"
oxycarboxin,AMEKQAFGQBKLKX-UHFFFAOYSA-N,5259-88-1,"['9.3E+05', '9.0E+05', '2.8E+03', '5.3E+05']","['V', 'V', 'V', 'Q']","[25.0, 25.0, 25.0, 25.0]"
thifensulfuron-methyl,AHTPATJNIAFOLR-UHFFFAOYSA-N,79277-27-3,"['3.4E+08', '1.0E+14', '3.6E+12']","['V', '?', '?']","[25.0, 25.0, 25.0]"
sulfamethazine,ASWVTGNCAZCNNR-UHFFFAOYSA-N,57-68-1,['3.2E+07'],['Q'],[25.0]
thiophanate-methyl,QGHREAKMXXNCOA-UHFFFAOYSA-N,23564-05-8,"['8.2E+03', '7.9E+02', '6.0E+03']","['V', 'V', '?']","[25.0, 25.0, 25.0]"
"4,4'-oxydi(benzenesulphonohydrazide)",NBOCQTNZUPTTEI-UHFFFAOYSA-N,80-51-3,['7.8E+11'],['Q'],[25.0]
albendazole,HXHWSAZORRCQMX-UHFFFAOYSA-N,54965-21-8,['1.3E+08'],['Q'],[25.0]
oryzalin,UNAHYJYOSSSJHH-UHFFFAOYSA-N,19044-88-3,"['5.2E+03', '5.3E+03', '3.6E+07', '2.5E+08', '3.0E+07']","['V', 'V', '?', '?', '?']","[25.0, 25.0, 25.0, 25.0, 25.0]"
STK366145,XWQURWIJAIIPQP-UHFFFAOYSA-N,56046-62-9,['9.9E+04'],['V'],[25.0]
isomethiozin,MZTLOILRKLUURT-UHFFFAOYSA-N,57052-04-7,['7.9E+02'],['?'],[25.0]
thiencarbazone-methyl,XSKZXGDFSCCXQX-UHFFFAOYSA-N,317815-83-1,"['2.1E+12', '5.0E+12', '1.3E+13', '1.2E+13']","['?', '?', '?', '?']","[25.0, 25.0, 25.0, 25.0]"
"2,8-dinitrodibenzothiophene",VMQHOWOVMXIROE-UHFFFAOYSA-N,109041-38-5,['4.0E+04'],['Q'],[25.0]
2-nitrodibenzothiophene,GXLYVLHWXVRVKI-UHFFFAOYSA-N,6639-36-7,['1.2E+02'],['Q'],[25.0]
azimsulfuron,MAHPNPYYQAIOJN-UHFFFAOYSA-N,120162-55-2,"['2.0E+09', '1.2E+08', '1.1E+10']","['?', '?', '?']","[25.0, 25.0, 25.0]"
fenothiocarb,HMIBKHHNXANVHR-UHFFFAOYSA-N,62850-32-2,['5.3E+02'],['?'],[25.0]
isobornyl thiocyanoacetate,IXEVGHXRXDBAOB-RUETXSTFSA-N,115-31-1,['3.8E+01'],['Q'],[25.0]
nitralin,UMKANAFDOQQUKE-UHFFFAOYSA-N,4726-14-1,"['1.4E+03', '7.2E-03', '7.2E-03']","['V', 'V', 'V']","[25.0, 25.0, 25.0]"
bupirimate,DSKJPMWIHSOYEA-UHFFFAOYSA-N,41483-43-6,"['6.9E+02', '1.0E+02', '1.5E+03', '7.4E-01']","['V', 'V', 'Q', '?']","[25.0, 25.0, 25.0, 25.0]"
