Compound,InChIKey,Constants,Types,Temperature
chloramine,QDHHCQZDFGDHMP-UHFFFAOYSA-N,"['8.6E-01', '8.6E-01', '8.6E-01', '8.6E-01', '9.2E-01', '4.6E-05']","['L', 'L', 'L', 'L', 'M', 'Q']","[5726.85, 5726.85, 5726.85, 5726.85, 4526.85, 25.0]"
dichloramine,JSYGRUBHOCKMGQ-UHFFFAOYSA-N,"['2.9E-01', '2.9E-01', '2.9E-01', '2.9E-01', '2.8E-01']","['L', 'L', 'L', 'L', 'M']","[3926.85, 3926.85, 3926.85, 3926.85, 3926.85]"
nitrogen trichloride,QEHKBHWEUPXBCW-UHFFFAOYSA-N,"['9.9E-04', '9.9E-04', '9.9E-04', '9.9E-04', '9.9E-04']","['L', 'L', 'L', 'L', 'M']","[3826.85, 3826.85, 3826.85, 3826.85, 3826.85]"
bromine (molecular),GDTBXPJZTBHREO-UHFFFAOYSA-N,"['7.2E-03', '7.2E-03', '7.2E-03', '7.2E-03', '1.8E-02', '6.8E-03', '9.6E-03', '7.0E-03', '1.4E-02', '7.8E-03', '7.9E-03', '8.3E-03', '7.9E-03', '7.2E-03', '9.2E-03', '7.6E-03', '7.5E-03']","['L', 'L', 'L', 'L', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'V', 'R', 'T', 'X', '?', '?']","[4126.85, 4126.85, 4126.85, 4126.85, 3326.85, 25.0, 25.0, 3826.85, 25.0, 3526.85, 3326.85, 3826.85, 3626.85, 3726.85, 25.0, 25.0, 3626.85]"
bromine atom,WKBOTKDWSSQWDR-UHFFFAOYSA-N,"['1.2E-02', '3.4E-04']","['T', 'T']","[25.0, 1526.85]"
hydrogen bromide,CPELXLSAUQHCOX-UHFFFAOYSA-N,"['6.8E-02', '2.4E-01']","['Q', '?']","[25.0, -23.149999999999977]"
hypobromous acid,CUILPNURFADTPE-UHFFFAOYSA-N,"['1.3E+01', '1.3E+01', '1.9E+01', '1.9E+01', '1.8E-02', '6.0E+01', '9.1E-01']","['L', 'L', 'M', 'M', 'T', 'E', 'E']","[25.0, 25.0, 25.0, 25.0, 3726.85, 25.0, 25.0]"
nitryl bromide,SEYAFCXQVVHRPY-UHFFFAOYSA-M,['3.0E-03'],['E'],[25.0]
bromine nitrate,RRTWEEAEXPZMPY-UHFFFAOYSA-N,[],[],[]
bromine chloride,CODNYICXDISAEA-UHFFFAOYSA-N,"['9.7E-03', '9.7E-03', '9.7E-03', '9.7E-03', '6.2E-02', '1.5E-02', '9.3E-03', '4.2E-02', '1.1E-02', '6.9E-04', '5.8E-03']","['L', 'L', 'L', 'L', 'M', 'M', 'M', 'M', 'T', 'E', 'E']","[5326.85, 5326.85, 5326.85, 5326.85, 25.0, 25.0, 5326.85, 3726.85, 25.0, 3726.85, 25.0]"
iodine (molecular),PNDPGZBMCMUPRI-UHFFFAOYSA-N,"['2.8E-02', '2.8E-02', '3.0E-02', '3.1E-02', '3.2E-02', '1.1E-02']","['M', 'V', 'R', 'R', 'T', 'C']","[4026.85, 3626.85, 4126.85, 4326.85, 4526.85, 25.0]"
iodine atom,ZCYVEMRRCGMTRW-UHFFFAOYSA-N,"['7.9E-04', '6.2E-05']","['T', 'T']","[25.0, 2026.85]"
hydrogen iodide,XMBWDFGMSWQBCA-UHFFFAOYSA-N,['2.5E-01'],['E'],[9526.85]
iodine monoxide,AFSVSXMRDKPOEW-UHFFFAOYSA-N,['4.4E+00'],['?'],[25.0]
iodine dioxide,WXDJHDMIIZKXSK-UHFFFAOYSA-N,['9.9E+01'],['?'],[25.0]
diiodine dioxide,IELAHHPSAVYAOC-UHFFFAOYSA-N,['9.9E+01'],['?'],[25.0]
diiodine trioxide,NMNCVPKLBXOKQA-UHFFFAOYSA-N,['9.9E+01'],['?'],[25.0]
diiodine tetroxide,XHTWXUOEQMOFEJ-UHFFFAOYSA-N,['9.9E+01'],['?'],[25.0]
hypoiodous acid,GEOVEUCEIQCBKH-UHFFFAOYSA-N,['4.1E+00'],['C'],[25.0]
iodine nitrite,PSZTWRLUACEPOW-UHFFFAOYSA-N,['3.0E-03'],['E'],[25.0]
iodine nitrate,CCJHDZZUWZIVJF-UHFFFAOYSA-N,[],[],[]
iodine chloride,QZRGKCOWNLSUDK-UHFFFAOYSA-N,['1.1E+00'],['T'],[25.0]
iodine bromide,CBEQRNSPHCCXSH-UHFFFAOYSA-N,['2.4E-01'],['T'],[25.0]
sulfur,NINIDFKCEFEMDL-UHFFFAOYSA-N,['2.0E+01'],['?'],[25.0]
