Compounds,InChI
H2M2C65OOH,"InChI=1S/C7H16O3/c1-6(10-9)4-5-7(2,3)8/h6,8-9H,4-5H2,1-3H3"
H2M4C65OOH,"InChI=1S/C7H16O3/c1-5(4-6(2)8)7(3)10-9/h5-9H,4H2,1-3H3"
H3M3C5CO3H,"InChI=1S/C7H14O4/c1-3-7(2,9)5-4-6(8)11-10/h9-10H,3-5H2,1-2H3"
H3M3C6OOH,"InChI=1S/C7H16O3/c1-3-7(2,8)5-4-6-10-9/h8-9H,3-6H2,1-2H3"
HO3C76OOH,"InChI=1S/C7H16O3/c1-3-7(8)5-4-6(2)10-9/h6-9H,3-5H2,1-2H3"
HO5C6CO3H,"InChI=1S/C7H14O4/c1-2-3-4-6(8)5-7(9)11-10/h6,8,10H,2-5H2,1H3"
TLBIPER2OH,"InChI=1S/C7H10O4/c1-7-3-2-4(8)5(6(7)9)10-11-7/h2-6,8-9H,1H3"
TLBIPEROOH,"InChI=1S/C7H10O5/c1-7-3-2-4(10-9)5(6(7)8)11-12-7/h2-6,8-9H,1H3"
EBENZOLOH,"InChI=1S/C8H12O5/c1-2-7-3-4-8(10,11)6(5(7)9)12-13-7/h3-6,9-11H,2H2,1H3"
EBENZOLOOH,"InChI=1S/C8H12O6/c1-2-7-3-4-8(10,13-11)6(5(7)9)12-14-7/h3-6,9-11H,2H2,1H3"
EBZBPER2OH,"InChI=1S/C8H12O4/c1-2-8-4-3-5(9)6(7(8)10)11-12-8/h3-7,9-10H,2H2,1H3"
EBZBPEROOH,"InChI=1S/C8H12O5/c1-2-8-4-3-5(11-10)6(7(8)9)12-13-8/h3-7,9-10H,2H2,1H3"
HO3C86OOH,"InChI=1S/C8H18O3/c1-3-7(9)5-6-8(4-2)11-10/h7-10H,3-6H2,1-2H3"
HO6C7CO3H,"InChI=1S/C8H16O4/c1-2-3-4-5-7(9)6-8(10)12-11/h7,9,11H,2-6H2,1H3"
MXYBPER2OH,"InChI=1S/C8H12O4/c1-7-4-3-5(9)8(2,6(7)10)12-11-7/h3-6,9-10H,1-2H3"
MXYBPEROOH,"InChI=1S/C8H12O5/c1-7-4-3-5(11-10)8(2,6(7)9)13-12-7/h3-6,9-10H,1-2H3"
MXYOLOH,"InChI=1S/C8H12O5/c1-6-3-4-8(10,11)7(2,5(6)9)13-12-6/h3-5,9-11H,1-2H3"
MXYOLOOH,"InChI=1S/C8H12O6/c1-6-3-4-8(10,12-11)7(2,5(6)9)14-13-6/h3-5,9-11H,1-2H3"
OXYBPER2OH,"InChI=1S/C8H12O4/c1-7(10)4-3-5-6(9)8(7,2)12-11-5/h3-6,9-10H,1-2H3"
OXYBPEROOH,"InChI=1S/C8H12O5/c1-7(12-10)4-3-5-6(9)8(7,2)13-11-5/h3-6,9-10H,1-2H3"
OXYOLOH,"InChI=1S/C8H12O5/c1-4-3-8(10,11)6-5(9)7(4,2)13-12-6/h3,5-6,9-11H,1-2H3"
OXYOLOOH,"InChI=1S/C8H12O6/c1-4-3-8(10,13-11)6-5(9)7(4,2)14-12-6/h3,5-6,9-11H,1-2H3"
PXYBPER2OH,"InChI=1S/C8H12O4/c1-7(10)3-4-8(2)5(9)6(7)11-12-8/h3-6,9-10H,1-2H3"
PXYBPEROOH,"InChI=1S/C8H12O5/c1-7-3-4-8(2,12-10)6(5(7)9)11-13-7/h3-6,9-10H,1-2H3"
PXYOLOH,"InChI=1S/C8H12O5/c1-4-3-8(10,11)7(2)6(9)5(4)12-13-7/h3,5-6,9-11H,1-2H3"
PXYOLOOH,"InChI=1S/C8H12O6/c1-4-3-8(10,13-11)7(2)6(9)5(4)12-14-7/h3,5-6,9-11H,1-2H3"
HO3C96OOH,"InChI=1S/C9H20O3/c1-3-5-9(12-11)7-6-8(10)4-2/h8-11H,3-7H2,1-2H3"
HO7C8CO3H,"InChI=1S/C9H18O4/c1-2-3-4-5-6-8(10)7-9(11)13-12/h8,10,12H,2-7H2,1H3"
HO8C9OOH,"InChI=1S/C9H20O3/c1-2-3-4-5-6-7-9(10)8-12-11/h9-11H,2-8H2,1H3"
IPBENZOLOH,"InChI=1S/C9H14O5/c1-5(2)8-3-4-9(11,12)7(6(8)10)13-14-8/h3-7,10-12H,1-2H3"
IPBZBPR2OH,"InChI=1S/C9H14O4/c1-5(2)9-4-3-6(10)7(8(9)11)12-13-9/h3-8,10-11H,1-2H3"
IPBZBPROOH,"InChI=1S/C9H14O5/c1-5(2)9-4-3-6(12-11)7(8(9)10)13-14-9/h3-8,10-11H,1-2H3"
