Compounds,InChI
COHM2PAN,"InChI=1S/C4H5NO7/c1-4(8,2-6)3(7)11-12-5(9)10/h2,8H,1H3"
MACRNB,"InChI=1S/C4H7NO5/c1-4(7,2-6)3-10-5(8)9/h2,7H,3H2,1H3"
MACRNO3,"InChI=1S/C4H7NO5/c1-4(2-6,3-7)10-5(8)9/h2,7H,3H2,1H3"
C4M2ALOHNO3,"InChI=1S/C5H7NO6/c1-5(3-8,4(9)2-7)12-6(10)11/h2-4,9H,1H3"
C510OH,"InChI=1S/C5H9NO6/c1-5(9,4(8)2-7)3-12-6(10)11/h2,4,8-9H,3H2,1H3"
C510OOH,"InChI=1S/C5H9NO7/c1-5(13-11,4(8)2-7)3-12-6(9)10/h2,4,8,11H,3H2,1H3"
C57NO3,"InChI=1S/C5H9NO6/c1-5(3-8,4(9)2-7)12-6(10)11/h3-4,7,9H,2H2,1H3"
C58NO3,"InChI=1S/C5H9NO6/c1-5(3-8,4(9)2-7)12-6(10)11/h2,4,8-9H,3H2,1H3"
DNC524CO,"InChI=1S/C5H8N2O9/c8-1-4(15-6(11)12)5(2-9,3-10)16-7(13)14/h2,4,8,10H,1,3H2"
HNC524CO,"InChI=1S/C5H9NO7/c7-1-4(13-6(11)12)5(10,2-8)3-9/h2,4,7,9-10H,1,3H2"
HPNC524CO,"InChI=1S/C5H9NO8/c7-1-4(13-6(10)11)5(2-8,3-9)14-12/h2,4,7,9,12H,1,3H2"
INAHCHO,"InChI=1S/C5H9NO6/c1-5(9,3-7)4(8)2-12-6(10)11/h3-4,8-9H,2H2,1H3"
INAHPCHO,"InChI=1S/C5H9NO7/c1-5(3-7,13-11)4(8)2-12-6(9)10/h3-4,8,11H,2H2,1H3"
INANCHO,"InChI=1S/C5H8N2O8/c1-5(3-8,15-7(12)13)4(9)2-14-6(10)11/h3-4,9H,2H2,1H3"
INB1HPCHO,"InChI=1S/C5H9NO7/c1-5(3-8,13-6(9)10)4(2-7)12-11/h2,4,8,11H,3H2,1H3"
INB1NACHO,"InChI=1S/C5H8N2O8/c1-5(3-9,15-7(12)13)4(2-8)14-6(10)11/h2,4,9H,3H2,1H3"
INB1NBCHO,"InChI=1S/C5H8N2O8/c1-5(3-9,15-7(12)13)4(2-8)14-6(10)11/h3-4,8H,2H2,1H3"
INCNCHO,"InChI=1S/C5H8N2O8/c1-5(9,3-14-6(10)11)4(2-8)15-7(12)13/h2,4,9H,3H2,1H3"
INDHCHO,"InChI=1S/C5H9NO6/c1-5(9,3-8)4(2-7)12-6(10)11/h3-4,7,9H,2H2,1H3"
INDHPCHO,"InChI=1S/C5H9NO7/c1-5(3-8,13-11)4(2-7)12-6(9)10/h3-4,7,11H,2H2,1H3"
MMALNACO3H,"InChI=1S/C5H7NO8/c1-5(2-7,14-6(10)11)3(8)4(9)13-12/h2-3,8,12H,1H3"
MMALNAPAN,"InChI=1S/C5H6N2O10/c1-5(2-8,16-6(11)12)3(9)4(10)15-17-7(13)14/h2-3,9H,1H3"
MMALNBCO3H,"InChI=1S/C5H7NO8/c1-5(3(8)2-7,4(9)13-12)14-6(10)11/h2-3,8,12H,1H3"
MMALNBPAN,"InChI=1S/C5H6N2O10/c1-5(3(9)2-8,16-6(11)12)4(10)15-17-7(13)14/h2-3,9H,1H3"
NMBOBCO,"InChI=1S/C5H9NO5/c1-5(2,8)4(3-7)11-6(9)10/h3-4,8H,1-2H3"
C1H4C5PAN,"InChI=1S/C6H9NO7/c8-3-1-2-5(9)4-6(10)13-14-7(11)12/h3,5,9H,1-2,4H2"
C623NO3,"InChI=1S/C6H11NO6/c1-6(4-10,13-7(11)12)5(2-8)3-9/h2,5,9-10H,3-4H2,1H3"
C67NO3,"InChI=1S/C6H11NO5/c1-6(2,9)5(3-4-8)12-7(10)11/h4-5,9H,3H2,1-2H3"
C68NO3,"InChI=1S/C6H11NO5/c1-5(9)6(2,3-4-8)12-7(10)11/h4-5,9H,3H2,1-2H3"
CO1H63NO3,"InChI=1S/C6H11NO5/c8-4-1-2-6(3-5-9)12-7(10)11/h5-6,8H,1-4H2"
NC623OH,"InChI=1S/C6H11NO6/c1-6(10,4-13-7(11)12)5(2-8)3-9/h2,5,9-10H,3-4H2,1H3"
NC623OOH,"InChI=1S/C6H11NO7/c1-6(14-12,4-13-7(10)11)5(2-8)3-9/h2,5,9,12H,3-4H2,1H3"
C728NO3,"InChI=1S/C7H13NO6/c1-7(5-11,14-8(12)13)6(4-10)2-3-9/h3,6,10-11H,2,4-5H2,1H3"
C730NO3,"InChI=1S/C7H13NO6/c1-7(5-11,14-8(12)13)6(4-10)2-3-9/h4,6,9,11H,2-3,5H2,1H3"
NC728OH,"InChI=1S/C7H13NO6/c1-7(11,5-14-8(12)13)6(4-10)2-3-9/h3,6,10-11H,2,4-5H2,1H3"
NC728OOH,"InChI=1S/C7H13NO7/c1-7(15-13,5-14-8(11)12)6(4-10)2-3-9/h3,6,10,13H,2,4-5H2,1H3"
NC730OH,"InChI=1S/C7H13NO6/c1-7(11,5-14-8(12)13)6(4-10)2-3-9/h4,6,9,11H,2-3,5H2,1H3"
NC730OOH,"InChI=1S/C7H13NO7/c1-7(15-13,5-14-8(11)12)6(4-10)2-3-9/h4,6,9,13H,2-3,5H2,1H3"
C826NO3,"InChI=1S/C8H13NO6/c1-8(6-12,15-9(13)14)7(2-4-10)3-5-11/h4-5,7,12H,2-3,6H2,1H3"
NC826OH,"InChI=1S/C8H13NO6/c1-8(12,6-15-9(13)14)7(2-4-10)3-5-11/h4-5,7,12H,2-3,6H2,1H3"
C127NO3,"InChI=1S/C12H19NO5/c1-9(4-6-14)12(18-13(16)17)8-11(2,3)10(12)5-7-15/h7,10,14H,1,4-6,8H2,2-3H3"
C1311NO3,"InChI=1S/C13H21NO5/c1-10(5-4-7-15)13(19-14(17)18)9-12(2,3)11(13)6-8-16/h7,11,16H,1,4-6,8-9H2,2-3H3"
C1313NO3,"InChI=1S/C13H21NO6/c1-12(2)8-11(10(12)4-7-16)13(9-17,5-3-6-15)20-14(18)19/h6-7,10-11,17H,3-5,8-9H2,1-2H3"
NC1313OH,"InChI=1S/C13H21NO6/c1-12(2)8-11(10(12)4-7-16)13(17,5-3-6-15)9-20-14(18)19/h6-7,10-11,17H,3-5,8-9H2,1-2H3"
C3NO3COOOH,"InChI=1S/C3H5NO6/c5-3(2-10-8)1-9-4(6)7/h8H,1-2H2"
CH3COPAN,InChI=1S/C3H3NO6/c1-2(5)3(6)9-10-4(7)8/h1H3
CO23C4NO3,"InChI=1S/C4H5NO5/c1-3(6)4(7)2-10-5(8)9/h2H2,1H3"
CO2C3PAN,"InChI=1S/C4H5NO6/c1-3(6)2-4(7)10-11-5(8)9/h2H2,1H3"
CO2N3CO3H,"InChI=1S/C4H5NO7/c1-2(6)3(4(7)12-10)11-5(8)9/h3,10H,1H3"
CO2N3PAN,"InChI=1S/C4H4N2O9/c1-2(7)3(13-5(9)10)4(8)14-15-6(11)12/h3H,1H3"
COC4NO3OOH,"InChI=1S/C4H7NO6/c1-3(11-9)4(6)2-10-5(7)8/h3,9H,2H2,1H3"
MEKANO3,"InChI=1S/C4H7NO4/c1-4(6)2-3-9-5(7)8/h2-3H2,1H3"
NMVK,"InChI=1S/C4H5NO4/c1-2-4(6)3-9-5(7)8/h2H,1,3H2"
C4M2NO3ONE,"InChI=1S/C5H9NO4/c1-4(7)5(2,3)10-6(8)9/h1-3H3"
C4M3NO3ONE,"InChI=1S/C5H9NO4/c1-4(2)5(7)3-10-6(8)9/h4H,3H2,1-2H3"
C4MCNO3OOH,"InChI=1S/C5H9NO6/c1-4(7)5(2,3-11-10)12-6(8)9/h10H,3H2,1-2H3"
C51NO324CO,"InChI=1S/C5H7NO5/c1-4(7)2-5(8)3-11-6(9)10/h2-3H2,1H3"
C51NO32CO,"InChI=1S/C5H9NO4/c1-2-3-5(7)4-10-6(8)9/h2-4H2,1H3"
C52NO33CO,"InChI=1S/C5H9NO4/c1-3-5(7)4(2)10-6(8)9/h4H,3H2,1-2H3"
C53NO324CO,"InChI=1S/C5H7NO5/c1-3(7)5(4(2)8)11-6(9)10/h5H,1-2H3"
C53NO32CO,"InChI=1S/C5H9NO4/c1-3-5(4(2)7)10-6(8)9/h5H,3H2,1-2H3"
C5CONO3OOH,"InChI=1S/C5H9NO6/c1-5(2,12-10)4(7)3-11-6(8)9/h10H,3H2,1-2H3"
C5COO2NO2,"InChI=1S/C5H5NO6/c1-4(7)2-3-5(8)11-12-6(9)10/h2-3H,1H3"
C5NO3O4OOH,"InChI=1S/C5H9NO6/c1-3(11-6(8)9)5(7)4(2)12-10/h3-4,10H,1-2H3"
C5NO3OAOOH,"InChI=1S/C5H9NO6/c1-4(12-10)2-5(7)3-11-6(8)9/h4,10H,2-3H2,1H3"
C5ONO34OOH,"InChI=1S/C5H9NO6/c1-3(7)5(4(2)12-10)11-6(8)9/h4-5,10H,1-2H3"
C5PAN16,"InChI=1S/C5H7NO6/c1-2-4(7)3-5(8)11-12-6(9)10/h2-3H2,1H3"
C5PAN2,"InChI=1S/C5H7NO6/c1-4(7)2-3-5(8)11-12-6(9)10/h2-3H2,1H3"
C5PAN7,"InChI=1S/C5H7NO6/c1-3(4(2)7)5(8)11-12-6(9)10/h3H,1-2H3"
C5PAN9,"InChI=1S/C5H5NO7/c1-3(7)4(8)2-5(9)12-13-6(10)11/h2H2,1H3"
DIEKBNO3,"InChI=1S/C5H9NO4/c1-2-5(7)3-4-10-6(8)9/h2-4H2,1H3"
INANCOCO3H,"InChI=1S/C5H6N2O10/c1-5(4(9)16-14,17-7(12)13)3(8)2-15-6(10)11/h14H,2H2,1H3"
INANCOPAN,"InChI=1S/C5H5N3O12/c1-5(19-7(13)14,3(9)2-17-6(11)12)4(10)18-20-8(15)16/h2H2,1H3"
MIPKBNO3,"InChI=1S/C5H9NO4/c1-4(5(2)7)3-10-6(8)9/h4H,3H2,1-2H3"
MPRKNO3,"InChI=1S/C5H9NO4/c1-4(7)3-5(2)10-6(8)9/h5H,3H2,1-2H3"
C3COCPAN,"InChI=1S/C6H9NO6/c1-2-3-5(8)4-6(9)12-13-7(10)11/h2-4H2,1H3"
C4MCODBPAN,"InChI=1S/C6H7NO6/c1-4(3-5(2)8)6(9)12-13-7(10)11/h3H,1-2H3"
C62NO335CO,"InChI=1S/C6H9NO5/c1-4(8)3-6(9)5(2)12-7(10)11/h5H,3H2,1-2H3"
C62NO33CO,"InChI=1S/C6H11NO4/c1-3-4-6(8)5(2)11-7(9)10/h5H,3-4H2,1-2H3"
C63NO32CO,"InChI=1S/C6H11NO4/c1-3-4-6(5(2)8)11-7(9)10/h6H,3-4H2,1-2H3"
C64NO335CO,"InChI=1S/C6H9NO5/c1-3-5(9)6(4(2)8)12-7(10)11/h6H,3H2,1-2H3"
C66NO35CO,"InChI=1S/C6H11NO4/c1-2-3-4-6(8)5-11-7(9)10/h2-5H2,1H3"
C6CO134PAN,"InChI=1S/C6H7NO7/c1-2-4(8)5(9)3-6(10)13-14-7(11)12/h2-3H2,1H3"
C6CONO3OOH,"InChI=1S/C6H11NO6/c1-4(13-11)3-6(8)5(2)12-7(9)10/h4-5,11H,3H2,1-2H3"
C6DCARBPAN,"InChI=1S/C6H7NO6/c1-2-5(8)3-4-6(9)12-13-7(10)11/h3-4H,2H2,1H3"
C6NO324CO,"InChI=1S/C6H9NO5/c1-2-5(8)3-6(9)4-12-7(10)11/h2-4H2,1H3"
C6NO3COOOH,"InChI=1S/C6H11NO6/c1-2-6(13-11)3-5(8)4-12-7(9)10/h6,11H,2-4H2,1H3"
C6PAN12,"InChI=1S/C6H9NO6/c1-4(5(2)8)3-6(9)12-13-7(10)11/h4H,3H2,1-2H3"
C6PAN16,"InChI=1S/C6H9NO6/c1-4(8)6(2,3)5(9)12-13-7(10)11/h1-3H3"
C6PAN2,"InChI=1S/C6H9NO6/c1-2-5(8)3-4-6(9)12-13-7(10)11/h2-4H2,1H3"
C6PAN5,"InChI=1S/C6H9NO6/c1-4(3-5(2)8)6(9)12-13-7(10)11/h4H,3H2,1-2H3"
C6PAN6,"InChI=1S/C6H9NO6/c1-3-5(8)4(2)6(9)12-13-7(10)11/h4H,3H2,1-2H3"
C6PAN7,"InChI=1S/C6H7NO7/c1-3(5(9)4(2)8)6(10)13-14-7(11)12/h3H,1-2H3"
CONO3C6OOH,"InChI=1S/C6H11NO6/c1-3-5(13-11)6(4(2)8)12-7(9)10/h5-6,11H,3H2,1-2H3"
CYHXONANO3,"InChI=1S/C6H9NO4/c8-5-2-1-3-6(4-5)11-7(9)10/h6H,1-4H2"
ECO3PAN,"InChI=1S/C6H5NO8/c1-2-3(8)4(9)5(10)6(11)14-15-7(12)13/h2H2,1H3"
EIPKBNO3,"InChI=1S/C6H11NO4/c1-3-6(8)5(2)4-11-7(9)10/h5H,3-4H2,1-2H3"
HEX2ONANO3,"InChI=1S/C6H11NO4/c1-3-6(4-5(2)8)11-7(9)10/h6H,3-4H2,1-2H3"
HEX2ONBNO3,"InChI=1S/C6H11NO4/c1-5(8)3-4-6(2)11-7(9)10/h6H,3-4H2,1-2H3"
HEX3ONANO3,"InChI=1S/C6H11NO4/c1-3-6(8)4-5(2)11-7(9)10/h5H,3-4H2,1-2H3"
HEX3ONDNO3,"InChI=1S/C6H11NO4/c1-2-6(8)4-3-5-11-7(9)10/h2-5H2,1H3"
M2BKANO3,"InChI=1S/C6H11NO4/c1-4(5(2)8)6(3)11-7(9)10/h4,6H,1-3H3"
MC4CODBPAN,"InChI=1S/C6H7NO6/c1-4(5(2)8)3-6(9)12-13-7(10)11/h3H,1-2H3"
MIBKANO3,"InChI=1S/C6H11NO4/c1-5(8)4-6(2,3)11-7(9)10/h4H2,1-3H3"
MTBKNO3,"InChI=1S/C6H11NO4/c1-5(8)6(2,3)4-11-7(9)10/h4H2,1-3H3"
NBZQOOH,"InChI=1S/C6H5NO7/c8-3-1-2-4(9)6(14-12)5(3)13-7(10)11/h1-2,5-6,12H"
C627PAN,"InChI=1S/C7H9NO7/c1-5(9)2-3-6(10)4-7(11)14-15-8(12)13/h2-4H2,1H3"
C7ADCPAN,InChI=1S/C7H9NO6/c1-4(6(3)9)5(2)7(10)13-14-8(11)12/h1-3H3
C7DCPAN,"InChI=1S/C7H9NO6/c1-2-3-6(9)4-5-7(10)13-14-8(11)12/h4-5H,2-3H2,1H3"
C7DDCPAN,"InChI=1S/C7H9NO6/c1-3-6(9)4-5(2)7(10)13-14-8(11)12/h4H,3H2,1-2H3"
C7PAN3,"InChI=1S/C7H7NO8/c1-4(9)6(11)2-5(10)3-7(12)15-16-8(13)14/h2-3H2,1H3"
IC7DCPAN,"InChI=1S/C7H9NO6/c1-5(2)6(9)3-4-7(10)13-14-8(11)12/h3-5H,1-2H3"
NC71CO,"InChI=1S/C7H7NO6/c1-7(14-8(12)13)5(10)2-4(9)3-6(7)11/h2-3H2,1H3"
NC71OOH,"InChI=1S/C7H9NO7/c1-7(15-8(11)12)5(10)2-4(9)3-6(7)14-13/h6,13H,2-3H2,1H3"
NC72OOH,"InChI=1S/C7H7NO8/c1-7(16-8(12)13)4(10)2-3(9)5(15-14)6(7)11/h5,14H,2H2,1H3"
NPTLQOOH,"InChI=1S/C7H7NO7/c1-3-2-4(9)6(15-13)7(5(3)10)14-8(11)12/h2,6-7,13H,1H3"
C5DBEPAN,"InChI=1S/C8H9NO7/c1-3-6(8(12)5(2)10)4-7(11)15-16-9(13)14/h4H,3H2,1-2H3"
C5EDBPAN,"InChI=1S/C8H9NO7/c1-3-6(4-7(11)5(2)10)8(12)15-16-9(13)14/h4H,3H2,1-2H3"
C727PAN,"InChI=1S/C8H11NO7/c1-5(10)3-4-7(6(2)11)8(12)15-16-9(13)14/h7H,3-4H2,1-2H3"
C7CODBPAN,"InChI=1S/C8H11NO6/c1-3-6(5-7(10)4-2)8(11)14-15-9(12)13/h5H,3-4H2,1-2H3"
C817NO3,"InChI=1S/C8H13NO5/c1-6(10)3-4-8(7(2)11)5-14-9(12)13/h8H,3-5H2,1-2H3"
NMXYQOOH,"InChI=1S/C8H9NO7/c1-4-3-5(10)7(15-9(12)13)8(2,16-14)6(4)11/h3,7,14H,1-2H3"
NOXYQOOH,"InChI=1S/C8H9NO7/c1-3-4(2)6(11)8(16-14)7(5(3)10)15-9(12)13/h7-8,14H,1-2H3"
NPEBQOOH,"InChI=1S/C8H9NO7/c1-2-4-3-5(10)7(16-14)8(6(4)11)15-9(12)13/h3,7-8,14H,2H2,1H3"
NPXYQOOH,"InChI=1S/C8H9NO7/c1-4-3-5(10)8(2,16-14)7(6(4)11)15-9(12)13/h3,7,14H,1-2H3"
C816PAN,"InChI=1S/C9H13NO6/c1-6(2)8(5-4-7(3)11)9(12)15-16-10(13)14/h8H,1,4-5H2,2-3H3"
C817PAN,"InChI=1S/C9H13NO7/c1-6(11)3-4-8(7(2)12)5-9(13)16-17-10(14)15/h8H,3-5H2,1-2H3"
C827PAN,"InChI=1S/C9H13NO7/c1-6(11)4-5-7(12)9(2,3)8(13)16-17-10(14)15/h4-5H2,1-3H3"
C828PAN,"InChI=1S/C9H11NO8/c1-5(11)4-6(12)7(13)9(2,3)8(14)17-18-10(15)16/h4H2,1-3H3"
C88PAN,"InChI=1S/C9H11NO7/c1-9(2)6(12)4-3-5(11)7(9)8(13)16-17-10(14)15/h7H,3-4H2,1-2H3"
C917NO3,"InChI=1S/C9H13NO5/c1-9(2,15-10(13)14)7-5-6(11)3-4-8(7)12/h7H,3-5H2,1-2H3"
C923NO3,"InChI=1S/C9H15NO4/c1-7(2)9(5-4-8(3)11)6-14-10(12)13/h9H,1,4-6H2,2-3H3"
C928NO3,"InChI=1S/C9H15NO5/c1-7(11)4-5-8(12)9(2,3)6-15-10(13)14/h4-6H2,1-3H3"
C96NO3,"InChI=1S/C9H15NO4/c1-6(11)8-4-7(9(8,2)3)5-14-10(12)13/h7-8H,4-5H2,1-3H3"
C9DCNO3,"InChI=1S/C9H11NO5/c1-9(2)6-4(11)3-5(12)7(9)8(6)15-10(13)14/h6-8H,3H2,1-2H3"
C9PAN2,"InChI=1S/C9H13NO6/c1-5(11)6-4-7(9(6,2)3)8(12)15-16-10(13)14/h6-7H,4H2,1-3H3"
NIPRBQOOH,"InChI=1S/C9H11NO7/c1-4(2)5-3-6(11)8(17-15)9(7(5)12)16-10(13)14/h3-4,8-9,15H,1-2H3"
NLMKAOOH,"InChI=1S/C9H15NO6/c1-6(11)7-3-4-9(2,16-14)8(5-7)15-10(12)13/h7-8,14H,3-5H2,1-2H3"
NMETLQOOH,"InChI=1S/C9H11NO7/c1-3-5-4-6(11)8(16-10(13)14)9(2,17-15)7(5)12/h4,8,15H,3H2,1-2H3"
NOETLQOOH,"InChI=1S/C9H11NO7/c1-3-5-4(2)6(11)9(17-15)8(7(5)12)16-10(13)14/h8-9,15H,3H2,1-2H3"
NOPINANO3,"InChI=1S/C9H13NO4/c1-9(2)5-3-6(9)8(4-7(5)11)14-10(12)13/h5-6,8H,3-4H2,1-2H3"
NOPINBNO3,"InChI=1S/C9H13NO4/c1-9(2)5-3-4-6(11)7(9)8(5)14-10(12)13/h5,7-8H,3-4H2,1-2H3"
NOPINCNO3,"InChI=1S/C9H13NO4/c1-8(2)6-5-9(8,14-10(12)13)4-3-7(6)11/h6H,3-5H2,1-2H3"
NPETLQOOH,"InChI=1S/C9H11NO7/c1-3-5-4-6(11)9(2,17-15)8(7(5)12)16-10(13)14/h4,8,15H,3H2,1-2H3"
NPPRBQOOH,"InChI=1S/C9H11NO7/c1-2-3-5-4-6(11)8(17-15)9(7(5)12)16-10(13)14/h4,8-9,15H,2-3H2,1H3"
NTM124QOOH,"InChI=1S/C9H11NO7/c1-4-5(2)7(12)9(3,17-15)8(6(4)11)16-10(13)14/h8,15H,1-3H3"
C1011NO3,"InChI=1S/C10H17NO4/c1-7(12)4-5-8-9(15-11(13)14)6-10(8,2)3/h8-9H,4-6H2,1-3H3"
C10PAN2,"InChI=1S/C10H15NO6/c1-6(12)8-4-7(10(8,2)3)5-9(13)16-17-11(14)15/h7-8H,4-5H2,1-3H3"
C923PAN,"InChI=1S/C10H15NO6/c1-7(2)9(5-4-8(3)12)6-10(13)16-17-11(14)15/h9H,1,4-6H2,2-3H3"
C928PAN,"InChI=1S/C10H15NO7/c1-7(12)4-5-8(13)10(2,3)6-9(14)17-18-11(15)16/h4-6H2,1-3H3"
NC101CO,"InChI=1S/C10H15NO4/c1-9(2)6-4-7(9)10(3,8(12)5-6)15-11(13)14/h6-7H,4-5H2,1-3H3"
NC101OOH,"InChI=1S/C10H15NO6/c1-8(2)6-4-10(8,17-15)5-7(12)9(6,3)16-11(13)14/h6,15H,4-5H2,1-3H3"
NC102OOH,"InChI=1S/C10H15NO7/c1-9(2,18-16)7-4-6(12)5-8(13)10(7,3)17-11(14)15/h7,16H,4-5H2,1-3H3"
C1011PAN,"InChI=1S/C11H17NO6/c1-7(13)4-5-9-8(6-11(9,2)3)10(14)17-18-12(15)16/h8-9H,4-6H2,1-3H3"
C131NO3,"InChI=1S/C13H21NO5/c1-9(15)4-5-11-10(8-13(11,2)3)12(16)6-7-19-14(17)18/h10-11H,4-8H2,1-3H3"
C131PAN,"InChI=1S/C14H21NO7/c1-9(16)4-5-11-10(8-14(11,2)3)12(17)6-7-13(18)21-22-15(19)20/h10-11H,4-8H2,1-3H3"
C141NO3,"InChI=1S/C14H23NO4/c1-10(7-8-19-15(17)18)12-9-14(3,4)13(12)6-5-11(2)16/h12-13H,1,5-9H2,2-4H3"
NBCKOOH,"InChI=1S/C14H23NO6/c1-13(2)8-9-10(13)6-7-14(3,21-19)12(20-15(17)18)5-4-11(9)16/h9-10,12,19H,4-8H2,1-3H3"
C141PAN,"InChI=1S/C15H23NO6/c1-10(5-8-14(18)21-22-16(19)20)12-9-15(3,4)13(12)7-6-11(2)17/h12-13H,1,5-9H2,2-4H3"
C4PAN10,"InChI=1S/C4H5NO8/c6-1-2(7)3(8)4(9)12-13-5(10)11/h3,6,8H,1H2"
C4PAN6,"InChI=1S/C4H5NO7/c1-2(6)3(7)4(8)11-12-5(9)10/h3,7H,1H3"
CO3C4NO3OH,"InChI=1S/C4H7NO5/c1-3(6)4(7)2-10-5(8)9/h3,6H,2H2,1H3"
HMVKANO3,"InChI=1S/C4H7NO5/c1-3(6)4(7)2-10-5(8)9/h4,7H,2H2,1H3"
HMVKNO3,"InChI=1S/C4H7NO6/c6-1-3(8)4(2-7)11-5(9)10/h4,6-7H,1-2H2"
HNBIACET,"InChI=1S/C4H5NO6/c6-1-3(7)4(8)2-11-5(9)10/h6H,1-2H2"
HNMVKOH,"InChI=1S/C4H7NO6/c6-1-3(7)4(8)2-11-5(9)10/h3,6-7H,1-2H2"
HNMVKOOH,"InChI=1S/C4H7NO7/c6-1-4(12-10)3(7)2-11-5(8)9/h4,6,10H,1-2H2"
MVKNO3,"InChI=1S/C4H7NO5/c1-3(7)4(2-6)10-5(8)9/h4,6H,2H2,1H3"
MVKOHANO3,"InChI=1S/C4H7NO6/c6-1-3(7)4(8)2-11-5(9)10/h4,6,8H,1-2H2"
C4MCONO3OH,"InChI=1S/C5H9NO5/c1-5(2,8)4(7)3-11-6(9)10/h8H,3H2,1-2H3"
C517NO3,"InChI=1S/C5H9NO5/c1-4(8)5(2-7)3-11-6(9)10/h5,7H,2-3H2,1H3"
C51NO3,"InChI=1S/C5H9NO5/c1-4(8)2-5(3-7)11-6(9)10/h5,7H,2-3H2,1H3"
C5NO3CO4OH,"InChI=1S/C5H9NO5/c1-4(7)2-5(8)3-11-6(9)10/h4,7H,2-3H2,1H3"
CO2OH3MPAN,"InChI=1S/C5H7NO7/c1-3(7)5(2,9)4(8)12-13-6(10)11/h9H,1-2H3"
CO3H4PAN,"InChI=1S/C5H7NO7/c1-2-3(7)4(8)5(9)12-13-6(10)11/h4,8H,2H2,1H3"
H1C23C4PAN,"InChI=1S/C5H5NO8/c7-2-4(9)3(8)1-5(10)13-14-6(11)12/h7H,1-2H2"
H3C2C4PAN,"InChI=1S/C5H7NO7/c1-3(7)4(8)2-5(9)12-13-6(10)11/h4,8H,2H2,1H3"
HMVKBPAN,"InChI=1S/C5H7NO7/c1-3(8)4(2-7)5(9)12-13-6(10)11/h4,7H,2H2,1H3"
INANCO,"InChI=1S/C5H8N2O8/c1-5(3-8,15-7(12)13)4(9)2-14-6(10)11/h8H,2-3H2,1H3"
INB1CO,"InChI=1S/C5H9NO6/c1-5(3-8,4(9)2-7)12-6(10)11/h7-8H,2-3H2,1H3"
INCCO,"InChI=1S/C5H9NO6/c1-5(9,4(8)2-7)3-12-6(10)11/h7,9H,2-3H2,1H3"
C4COMOHPAN,"InChI=1S/C6H7NO8/c1-3(8)4(9)6(2,11)5(10)14-15-7(12)13/h11H,1-2H3"
C4MOHOPAN,"InChI=1S/C6H9NO7/c1-3(2)4(8)5(9)6(10)13-14-7(11)12/h3,5,9H,1-2H3"
C517PAN,"InChI=1S/C6H9NO7/c1-4(9)5(3-8)2-6(10)13-14-7(11)12/h5,8H,2-3H2,1H3"
C519PAN,"InChI=1S/C6H9NO7/c1-4(9)5(2-3-8)6(10)13-14-7(11)12/h5,8H,2-3H2,1H3"
C5O45OHPAN,"InChI=1S/C6H9NO7/c1-2-3-4(8)5(9)6(10)13-14-7(11)12/h5,9H,2-3H2,1H3"
C610NO3,"InChI=1S/C6H11NO5/c1-4(5(2)9)6(3-8)12-7(10)11/h4,6,8H,3H2,1-2H3"
C614NO3,"InChI=1S/C6H9NO6/c1-4(9)6(10)2-5(3-8)13-7(11)12/h5,8H,2-3H2,1H3"
C61NO3,"InChI=1S/C6H11NO5/c1-4(8)3-6(5(2)9)12-7(10)11/h5-6,9H,3H2,1-2H3"
C63NO3,"InChI=1S/C6H11NO5/c1-2-5(9)3-6(4-8)12-7(10)11/h6,8H,2-4H2,1H3"
C64NO3,"InChI=1S/C6H11NO5/c1-5(9)3-6(2,4-8)12-7(10)11/h8H,3-4H2,1-2H3"
C6CONO34OH,"InChI=1S/C6H11NO5/c1-3-5(9)6(4(2)8)12-7(10)11/h5-6,9H,3H2,1-2H3"
C6NO3CO4OH,"InChI=1S/C6H11NO5/c1-2-5(8)3-6(9)4-12-7(10)11/h5,8H,2-4H2,1H3"
C6NO3CO5OH,"InChI=1S/C6H11NO5/c1-4(8)3-6(9)5(2)12-7(10)11/h4-5,8H,3H2,1-2H3"
C6PAN9,"InChI=1S/C6H9NO7/c1-6(2,10)4(8)3-5(9)13-14-7(11)12/h10H,3H2,1-2H3"
MIBKAOHNO3,"InChI=1S/C6H11NO5/c1-5(8)3-6(2,9)4-12-7(10)11/h9H,3-4H2,1-2H3"
C61CPAN,"InChI=1S/C7H9NO8/c1-2-3-4(9)5(10)6(11)7(12)15-16-8(13)14/h6,11H,2-3H2,1H3"
C62CPAN,"InChI=1S/C7H9NO8/c1-3(2)4(9)5(10)6(11)7(12)15-16-8(13)14/h3,6,11H,1-2H3"
C712NO3,"InChI=1S/C7H13NO5/c1-5(9)4-7(3,6(2)10)13-8(11)12/h6,10H,4H2,1-3H3"
C719NO3,"InChI=1S/C7H11NO6/c1-7(14-8(12)13)5(10)2-4(9)3-6(7)11/h5-6,10-11H,2-3H2,1H3"
C72NO3,"InChI=1S/C7H13NO5/c1-3-6(10)4-7(5(2)9)13-8(11)12/h5,7,9H,3-4H2,1-2H3"
C77NO3,"InChI=1S/C7H13NO5/c1-5(9)4-6(7(2,3)10)13-8(11)12/h6,10H,4H2,1-3H3"
H3C25C6PAN,"InChI=1S/C7H9NO8/c1-4(9)6(11)2-5(10)3-7(12)15-16-8(13)14/h6,11H,2-3H2,1H3"
