Compound,SMILES,InChI,logS,Temperature,logS-dataSource,HenryConstant,HenryConstant-dataSource,nIsomers
MCM:C6H5OOH,O,InChI=1S/H2O/h1H2,,25.0,,146.33333333333334,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:C6H5CH2OOH,O,InChI=1S/H2O/h1H2,,25.0,,163.66666666666666,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:C6H5CO3H,O,InChI=1S/H2O/h1H2,,25.0,,1254.8,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:MXYL1OOH,O,InChI=1S/H2O/h1H2,,25.0,,99.33333333333331,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:OXYL1OOH,O,InChI=1S/H2O/h1H2,,25.0,,105.0,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:PXYL1OOH,O,InChI=1S/H2O/h1H2,,25.0,,102.33333333333331,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:C6H5C2CO3H,O,InChI=1S/H2O/h1H2,,25.0,,1055.2333333333331,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:C6H5C2OOH,O,InChI=1S/H2O/h1H2,,25.0,,156.33333333333334,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:DM123OOH,O,InChI=1S/H2O/h1H2,,25.0,,88.66666666666667,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:DM124OOH,O,InChI=1S/H2O/h1H2,,25.0,,80.66666666666667,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:DMPHOOH,O,InChI=1S/H2O/h1H2,,25.0,,67.66666666666667,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:EBENZOOH,O,InChI=1S/H2O/h1H2,,25.0,,84.33333333333333,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:MXY1OOH,O,InChI=1S/H2O/h1H2,,25.0,,81.0,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:MXYLCO3H,O,InChI=1S/H2O/h1H2,,25.0,,750.09,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:MXYLOOH,O,InChI=1S/H2O/h1H2,,25.0,,108.66666666666669,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:OXYLCO3H,O,InChI=1S/H2O/h1H2,,25.0,,754.0666666666666,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:OXYLOOH,O,InChI=1S/H2O/h1H2,,25.0,,107.66666666666669,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:PXY1OOH,O,InChI=1S/H2O/h1H2,,25.0,,80.33333333333333,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:PXYLCO3H,O,InChI=1S/H2O/h1H2,,25.0,,752.2366666666667,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:PXYLOOH,O,InChI=1S/H2O/h1H2,,25.0,,116.33333333333331,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:EMPHOOH,O,InChI=1S/H2O/h1H2,,25.0,,55.0,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:ETOLOOH,O,InChI=1S/H2O/h1H2,,25.0,,84.33333333333333,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:IPBENZOOH,O,InChI=1S/H2O/h1H2,,25.0,,75.66666666666667,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:MET1OOH,O,InChI=1S/H2O/h1H2,,25.0,,61.333333333333336,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:OET1OOH,O,InChI=1S/H2O/h1H2,,25.0,,64.33333333333333,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:PBENZOOH,O,InChI=1S/H2O/h1H2,,25.0,,69.0,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:PET1OOH,O,InChI=1S/H2O/h1H2,,25.0,,61.0,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:PHC3OOH,O,InChI=1S/H2O/h1H2,,25.0,,100.0,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:TM123BCO3H,O,InChI=1S/H2O/h1H2,,25.0,,491.1133333333333,https://doi.org/10.5194/acp-23-10901-2023,1
